id,title,url
5a79ae560c5abf98c0f4c3ab,How Sir Stirling Moss dodged the goats to win unique 1957 Pescara Grand Prix | Richard Williams,https://www.theguardian.com/sport/2018/jan/22/sir-stirling-moss-formula-one
5a79aecd0c5abf98c0f4c7f5,F1 to stop using 'grid girls' in next world championship season,https://www.theguardian.com/uk-news/2018/jan/31/f1-to-stop-using-grid-girls-in-next-world-championship-season
5a80ee960c5abf98c03d168b,Can Crisis Line Messaging Help Improve Workplace Culture?,https://www.wired.com/story/can-crisis-line-messaging-help-improve-workplace-culture
5a80ee960c5abf98c03d1696,A Trade War With China Could Catch Tech in the Crossfire,https://www.wired.com/story/a-trade-war-with-china-could-catch-tech-in-the-crossfire
5a80ee960c5abf98c03d16c0,What Microsoft’s Antitrust Case Teaches Us About Silicon Valley,https://www.wired.com/story/what-microsofts-antitrust-case-teaches-us-about-silicon-valley
5a80ee960c5abf98c03d16c5,"Google Autocomplete Suggestions Are Still Racist, Sexist, and Science-Denying",https://www.wired.com/story/google-autocomplete-vile-suggestions
5a80ef0c0c5abf98c03d1d8d,Behind Artificial Intelligence Lurk Oddball Low-Paid Tasks,https://www.wired.com/story/behind-artificial-intelligence-lurk-oddball-low-paid-tasks
5a80ef0c0c5abf98c03d1dcc,The Center for Humane Technology Wants to Spark a Grassroots Ethical Tech Revolution,https://www.wired.com/story/center-for-humane-technology-tech-addiction
5a80ef0c0c5abf98c03d1dd1,"Microsoft, IBM Facial Analyses Struggle With Race and Gender",https://www.wired.com/story/photo-algorithms-id-white-men-fineblack-women-not-so-much
5a80ef0c0c5abf98c03d1dd4,Should Data Scientists Adhere to a Hippocratic Oath?,https://www.wired.com/story/should-data-scientists-adhere-to-a-hippocratic-oath
5a80effc0c5abf98c03d2d7c,Zadie Smith on Optimism and Despair,http://feedproxy.google.com/~r/brainpickings/rss/~3/xMfI-jg6rBM/
5a80f0ec0c5abf98c03d3cde,Where Did All the Advertising Jobs Go?,https://www.theatlantic.com/business/archive/2018/02/advertising-jobs-programmatic-tech/552629/?utm_source=feed
5a80f0ec0c5abf98c03d3cf0,The Amazon-ification of Whole Foods,https://www.theatlantic.com/business/archive/2018/02/whole-foods-two-hour-delivery-amazon/552821/?utm_source=feed
5a80f0ec0c5abf98c03d3ce5,What to Stream This Weekend: Five Films Starring Nonprofessional Actors,https://www.newyorker.com/culture/likes/what-to-stream-this-weekend-2018-02-09
5a80f1640c5abf98c03d447f,Music Industry Men Join Cry To Change The Recording Academy,https://www.npr.org/sections/therecord/2018/02/09/584506881/music-industry-men-join-cry-to-change-the-recording-academy?utm_medium=RSS&utm_campaign=therecord
5a80f1640c5abf98c03d4480,Thoreau on Knowing vs. Seeing and What It Takes to Apprehend Reality Unblinded by Our Preconceptions,http://feedproxy.google.com/~r/brainpickings/rss/~3/d-w5t7uInMc/
5a80f1640c5abf98c03d4474,What Investors Really Fear,https://www.theatlantic.com/business/archive/2018/02/dow-jones-stock-market-inflation/552920/?utm_source=feed
5a80f25c0c5abf98c03d547c,Volatility Is Scary—but It's Normal,https://www.theatlantic.com/business/archive/2018/02/stock-market-dow-volatility/552452/?utm_source=feed
5a80f2d80c5abf98c03d5be4,Literary Witches: An Illustrated Celebration of Trailblazing Women Writers Who Have Enchanted and Transformed the World,http://feedproxy.google.com/~r/brainpickings/rss/~3/p7Y2_44br9g/
5a80f2d80c5abf98c03d5bed,Trump Finally Comments on the Stock Slump—by Arguing With It,https://www.theatlantic.com/business/archive/2018/02/trump-markets-dow/552683/?utm_source=feed
5a80f3440c5abf98c03d6335,"Lovebug Starski, Rapper And DJ Who Stood At The Vanguard Of Hip-Hop, Dead At 57",https://www.npr.org/sections/therecord/2018/02/09/584488179/lovebug-starski-rapper-and-dj-who-stood-at-the-vanguard-of-hip-hop-dead-at-57?utm_medium=RSS&utm_campaign=therecord
5a80f3bd0c5abf98c03d69cf,Women In The Music Industry Call For 'Evolution' At The Grammys,https://www.npr.org/sections/therecord/2018/02/06/583464118/women-in-the-music-industry-call-for-evolution-at-the-grammys?utm_medium=RSS&utm_campaign=therecord
5a80f3bd0c5abf98c03d6a13,Oscar-Nominated Composer Jóhann Jóhannsson Dies At 48,https://www.npr.org/sections/therecord/2018/02/10/584804188/oscar-nominated-composer-johann-johannsson-dies-at-age-48?utm_medium=RSS&utm_campaign=therecord
5a80f3bd0c5abf98c03d69cd,In The Evil Forest: A Nigerian Activist And Musician Sings Of His Kidnapping,https://www.npr.org/sections/therecord/2018/02/09/584266004/in-the-evil-forest-a-nigerian-activist-and-musician-sings-of-his-kidnapping?utm_medium=RSS&utm_campaign=therecord
5a80f3bd0c5abf98c03d6a2a,"Inside The Small, Significant Change Just Made To Canada's National Anthem",https://www.npr.org/sections/therecord/2018/02/09/584613825/inside-the-small-significant-change-just-made-to-canadas-national-anthem?utm_medium=RSS&utm_campaign=therecord
5a80f4410c5abf98c03d71e6,A Fond Farewell to L. L. Bean’s No-Questions-Asked Return Policy,https://www.newyorker.com/culture/culture-desk/fond-farewell-l-l-bean-no-questions-asked-return-policy
5a81904c0c5abf98c045783f,Inside Facebook's Hellish Two Years—and Mark Zuckerberg's Struggle to Fix it All,https://www.wired.com/story/inside-facebook-mark-zuckerberg-2-years-of-hell
5a81913d0c5abf98c0458731,"Stock Watch: Who's Rising, Falling After the 2018 Australian Open?",https://www.si.com/tennis/2018/01/30/australian-open-stock-watch-caroline-wozniacki-simona-halep-nick-kyrgios-hyeon-chung
5a81913d0c5abf98c0458736,"Australian Open 2018 Review: Federer's 20th Major, Wozniacki's First Slam, Nadal's Injury and More",https://www.si.com/tennis/2018/01/29/podcast-australian-open-review-federer-wozniacki-halep-kyrgios-keys-sandgren
5a81913d0c5abf98c0458734,Roger Federer to Face Marin Cilic in 2018 Australian Open Final After Hyeon Chung Retires,https://www.si.com/tennis/2018/01/26/roger-federer-beats-hyeon-chung-marin-cilic-2018-australian-open-final
5a81913d0c5abf98c0458747,Mailbag: What Message Is Hall of Fame Sending with Recent Inductees?,https://www.si.com/tennis/2018/02/07/mailbag-tennis-hall-fame-sukova-stich-federer-djokovic-serena
