id,author,category,keywords,parentcatid,parentcatcode,parentcatname,parentcatslug,provider,pubDate,status,subcategoryid,subcategorycode,subcategoryname,subcategoryparentid,subcategoryparentcode,subcategoryparentname,subcategoryparentslug,subcategoryslug,title,topic,url
5a4a3456670c7645a286b634,Sam Hodges,"News,US News","Column, Finance, TC, irs, Internal Revenue Service, IRS Data Verification Modernization Act of 2017, Open Banking, Payment Services Directive",5a42ed6e527d3d240b8140ea,IAB12,News,news,techcrunch,1514656854000,classified,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,5a42ed6e527d3d240b8140ea,IAB12,News,news,us_news,How a simple tech upgrade at the IRS could transform the economy,All,http://feedproxy.google.com/~r/Techcrunch/~3/aap6ol9YPxY/
5a4b828e670c7645a286b792,Martin Welker,"Technology,Artificial Intelligence","AI, Artificial Intelligence, techcrunch",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,techcrunch,1514871039000,classified,5a4468486f7af13a5a457c6b,IAB19-72,Artificial Intelligence,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,artificial_intelligence,Building AI systems that work is still hard,All,http://feedproxy.google.com/~r/Techcrunch/~3/lK8YDseQ9j0/
5a4b828e670c7645a286b796,Jon Russell,"News,Technology News","Asia, Media, bytedance, Toutiao, Chinese, Startup",5a42ed6e527d3d240b8140ea,IAB12,News,news,techcrunch,1514891426000,classified,5a4b39e40978e16b1b883b98,IAB12-10,Technology News,5a42ed6e527d3d240b8140ea,IAB12,News,news,technology_news,Fast-growing Chinese media startup ByteDance enters 2018 with some uncertainty,All,http://feedproxy.google.com/~r/Techcrunch/~3/XKSBEQkbN3k/
5a4b828e670c7645a286b798,Natasha Lomas,"News,International News","Apps, Government, Social, TC, social media, photo sharing, instagram, Telegram, Facebook, Instant Messaging, social messaging, iran, Pavel Durov, censorship",5a42ed6e527d3d240b8140ea,IAB12,News,news,techcrunch,1514890981000,classified,5a4b39850978e16b1b883b97,IAB12-9,International News,5a42ed6e527d3d240b8140ea,IAB12,News,news,international_news,Telegram and Instagram being restricted in Iran,All,http://feedproxy.google.com/~r/Techcrunch/~3/cbAyGL1Xv68/
5a4b8305670c7645a286b7a5,Clive Thompson,"Business,Technology","magazine-26.01, clean tech, clean energy, Solar, blockchain",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1514818800000,classified,5a4468486f7af13a5a457c61,IAB3-13,Technology,5a42ed6e527d3d240b8140d4,IAB3,Business,business,technology,Clean Energy Is a Bright Spot Amid a Dark Tech Cloud,Business,https://www.wired.com/story/the-sunny-optimism-of-clean-energy-shines-through-techs-gloom
5a4b8305670c7645a286b7a8,Victoria Law,"Business,Technology","bail, apps, criminal justice",5a42ed6e527d3d240b8140d4,IAB3,Business,business,wired,1514894400000,classified,5a4468486f7af13a5a457c61,IAB3-13,Technology,5a42ed6e527d3d240b8140d4,IAB3,Business,business,technology,This App Collects Spare Change to Bail People Out of Jail,Business,https://www.wired.com/story/this-app-collects-spare-change-to-bail-people-out-of-jail
5a4b83f6670c7645a286b7cf,Steve Dent,"News,US News","Airports, Customs, Delays, DHS, gear, Passports, security, transportation, US Customs",5a42ed6e527d3d240b8140ea,IAB12,News,news,Engadget,1514880120000,classified,5a44d8eb527d3d3ad9df95ba,IAB12-2,US News,5a42ed6e527d3d240b8140ea,IAB12,News,news,us_news,A US customs computer snafu caused major airport delays,Technology,https://www.engadget.com/2018/01/02/a-us-customs-computer-snafu-caused-major-airport-delays/
5a4b83f6670c7645a286b7d3,Jon Fingas,"Technology,Mobile","android, android8.0, androidoreo, beta, gear, mobile, oneplus, oneplus 5t, open beta, oreo, oxygenos, smartphone",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1514851320000,classified,5a4468486f7af13a5a457c60,IAB19-67,Mobile,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,mobile,Adventurous OnePlus 5T owners can try Android Oreo,Technology,https://www.engadget.com/2018/01/01/oneplus-5t-android-oreo-beta/
5a4b8432670c7645a286b7d5,Jon Fingas,"Technology,Gadgets","egypt, egyptology, gadgetry, gadgets, gear, history, mummy, papyrus, scanner, scanning, university college london",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1514807880000,classified,5a4470ab527d3d3ad9df9553,IAB19-84,Gadgets,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gadgets,Scanning technique reads hidden writing in mummy boxes,Technology,https://www.engadget.com/2018/01/01/scanners-can-read-hidden-writing-in-mummy-boxes/
5a4b8432670c7645a286b7d9,Cherlynn Low,"News,Technology News","facebook, gear, germany, hatespeech, internet, law, socialmedia",5a42ed6e527d3d240b8140ea,IAB12,News,news,Engadget,1514829840000,classified,5a4b39e40978e16b1b883b98,IAB12-10,Technology News,5a42ed6e527d3d240b8140ea,IAB12,News,news,technology_news,Germany's hefty hate speech fines for social networks start today,Technology,https://www.engadget.com/2018/01/01/germanys-hefty-hate-speech-fines-for-social-networks-start-toda/
5a4b8432670c7645a286b7dc,Jessica Conditt,"Technology,Gaming","av, bluehole, capture, gaming, minkonet, personal computing, personal computing, player unknowns battlegrounds, pubg, replay, twitch, youtube, youtube gaming",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,Engadget,1514824200000,classified,5a4468486f7af13a5a457c67,IAB19-68,Gaming,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,gaming,'PUBG' is quietly changing video games with its 3D replay technology,Technology,https://www.engadget.com/2018/01/01/pubg-playerunknowns-battlegrounds-3d-replay-minkonet-future/
5a4b85d7670c7645a286b820,Maria Popova,"Society,Culture","BOOKS, CULTURE, JOHN O'DONOHUE, PHILOSOPHY, POLITICS",5a42ed6e527d3d240b8140df,IAB14,Society,society,Brain Pickings,1514825504000,classified,5a4468486f7af13a5a457c5d,IAB14-9,Culture,5a42ed6e527d3d240b8140df,IAB14,Society,society,Culture,A Gentle Corrective for the Epidemic of Identity Politics Turning Us on Each Other and on Ourselves,Culture,http://feedproxy.google.com/~r/brainpickings/rss/~3/xMlCvohcU0g/
5a4cd40e670c7645a286b97b,Matthew Panzarino,"Technology,Startup","TC, TechCrunch Startup Battlefield Dubai, Startup Battlefield, techcrunch startup battlefield, Startup Battlefield Dubai",5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,techcrunch,1514981126000,classified,5a4468486f7af13a5a457c5e,IAB19-65,Startup,5a42ed6e527d3d240b8140e4,IAB19,Technology,technology,startup,Apply today for TechCrunch's Startup Battlefield Dubai,All,http://feedproxy.google.com/~r/Techcrunch/~3/5jTgODywBuw/
5a4cd40e670c7645a286b97c,Ingrid Lunden,"Business,Acquisition","China, didi, Brazil, 99, deal, acquisition",5a42ed6e527d3d240b8140d4,IAB3,Business,business,techcrunch,1514982683000,classified,5a4468486f7af13a5a457c62,IAB3-14,Acquisition,5a42ed6e527d3d240b8140d4,IAB3,Business,business,acquisition,Report: China's Didi to buy Brazil's 99 in $1B deal to take on Latin America,All,http://feedproxy.google.com/~r/Techcrunch/~3/_oIIXoCXbA8/
